Unnamed: 0,0000000000,Student ID,Session 22/09/2023,Session 29/09/2023,Session 06/10/2023,Session 13/10/2023,Session 20/10/2023,Session 27/10/2023,Session 03/11/2023,Session 10/11/2023,Session 17/11/2023,Session 24/11/2023,Session 01/12/2023,Session 08/12/2023,Session 15/12/2023,Session 22/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
33,33,0221986060,P,P,P,P,A,A,A,P,A,A,A,A,A,A,5,38.46153846153847,11.9,,,,3.5,,,,,,,ABS_EXAM,,5,,,,,,,,,,8,,11,,,,,ABS_EXAM,,,,
34,34,0180632649,P,P,A,A,A,A,A,A,A,P,A,A,A,A,3,23.07692307692308,13,,,,16,,,,,,,14,,14,,,,,,,,,,15.4,,13,,,,,,,,,
35,35,0220389426,P,P,P,A,P,A,A,A,A,A,A,P,A,A,5,38.46153846153847,10,,,10.5,,,,,,,,10.5,,10,,,,,10,,,,,7.6,,10,,,,,,,,,
36,36,0222056418,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,23.07692307692308,11.5,,,,15,,,,,7.8,5.6,11,,12,,,,,5.5,,,,6.6,6.2,,6,,,,,3,,,,
37,37,022148763b,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,15.384615384615383,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
38,38,0221286252,P,P,P,A,A,A,A,A,A,A,A,P,A,A,4,30.76923076923077,,,,,18.5,,,,,,,,,19,,,,,,,,,,18.3,,18,,,,,,,,,
39,39,0221908904,P,P,P,A,P,A,A,A,A,A,A,A,A,A,4,30.76923076923077,16.2,,,,18.5,,,,,,,16,,11,,,,,,,,,,15,,14,,,,,,,,,
40,40,0211277704,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.6923076923076925,ABS_EXAM,,,,0,,,,,ABS_EXAM,,ABS_EXAM,,7,,,,,,,,,,6.9,,7,,,,,,,,,
41,41,022142822f,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,15.384615384615383,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
42,42,0221858451,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.6923076923076925,16.2,,,14.0,16.5,,,,,,,13.5,,12,,,,,,,,,,15.5,,18,,,,,,,,,
43,43,022112732d,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,15.384615384615383,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
44,44,0221541510,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,30.76923076923077,10.8,,,,17.5,,,,,,,15,,10,,,,,5,,,,,8,,11,,,,,10,,,,
45,45,021157745b,P,P,P,A,A,A,P,P,A,P,A,A,P,A,7,53.84615384615385,,6.3,,,,,,,,,,,,7,,,,,,,,,,6.1,,,,,,,3,,,,
46,46,021006942e,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,10.0,0 *,,,,,,,,,,,,,,,,,,,,,4,,,,11.7,,,,,
47,47,020074782f,P,P,P,P,A,A,P,A,A,A,A,A,A,A,5,38.46153846153847,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
